 user_id | first_name | last_name  
---------+------------+------------
      13 | Student3   | Lastname3
      16 | Student6   | Lastname6
      29 | Student19  | Lastname19
      41 | Student31  | Lastname31
      44 | Student34  | Lastname34
(5 rows)

 user_id | first_name  | last_name 
---------+-------------+-----------
       3 | Instructor1 | Teach1
       4 | Instructor2 | Teach2
       5 | Instructor3 | Teach3
       6 | Instructor4 | Teach4
       7 | Instructor5 | Teach5
       8 | Instructor6 | Teach6
       9 | Instructor7 | Teach7
      10 | Instructor8 | Teach8
(8 rows)

 course_id | course_title 
-----------+--------------
         4 | Course 4
         5 | Course 5
         6 | Course 6
         7 | Course 7
         8 | Course 8
         9 | Course 9
        11 | Course 11
        12 | Course 12
        13 | Course 13
        15 | Course 15
        16 | Course 16
        17 | Course 17
        18 | Course 18
        19 | Course 1
        21 | Course 3
        22 | Course 4
        23 | Course 5
        25 | Course 7
        27 | Course 9
        28 | Course 10
        29 | Course 11
        31 | Course 13
        32 | Course 14
        34 | Course 16
        35 | Course 17
(25 rows)

 course_id | course_title 
-----------+--------------
         9 | Course 9
        10 | Course 10
        13 | Course 13
        14 | Course 14
        16 | Course 16
        20 | Course 2
        25 | Course 7
        27 | Course 9
        28 | Course 10
        29 | Course 11
        32 | Course 14
(11 rows)

 user_id | first_name | last_name 
---------+------------+-----------
(0 rows)

 first_name | last_name  | course_title |      enrollment_date       | duration_days 
------------+------------+--------------+----------------------------+---------------
 Student1   | Lastname1  | Course 2     | 2026-03-03 23:55:29.606779 |            97
 Student1   | Lastname1  | Course 8     | 2026-03-03 23:55:29.606779 |           138
 Student1   | Lastname1  | Course 10    | 2026-03-03 23:55:29.606779 |            89
 Student1   | Lastname1  | Course 15    | 2026-03-03 23:55:29.606779 |           108
 Student2   | Lastname2  | Course 1     | 2026-03-03 23:55:29.606779 |            47
 Student2   | Lastname2  | Course 3     | 2026-03-03 23:55:29.606779 |            58
 Student2   | Lastname2  | Course 10    | 2026-03-03 23:55:29.606779 |           112
 Student3   | Lastname3  | Course 13    | 2026-03-03 23:55:29.606779 |           101
 Student4   | Lastname4  | Course 7     | 2026-03-03 23:55:29.606779 |           139
 Student5   | Lastname5  | Course 6     | 2026-03-03 23:55:29.606779 |            91
 Student5   | Lastname5  | Course 8     | 2026-03-03 23:55:29.606779 |            34
 Student5   | Lastname5  | Course 10    | 2026-03-03 23:55:29.606779 |           145
 Student7   | Lastname7  | Course 5     | 2026-03-03 23:55:29.606779 |           112
 Student7   | Lastname7  | Course 7     | 2026-03-03 23:55:29.606779 |           148
 Student7   | Lastname7  | Course 16    | 2026-03-03 23:55:29.606779 |            54
 Student7   | Lastname7  | Course 17    | 2026-03-03 23:55:29.606779 |            59
 Student7   | Lastname7  | Course 18    | 2026-03-03 23:55:29.606779 |            59
 Student8   | Lastname8  | Course 7     | 2026-03-03 23:55:29.606779 |           121
 Student8   | Lastname8  | Course 9     | 2026-03-03 23:55:29.606779 |           121
 Student8   | Lastname8  | Course 15    | 2026-03-03 23:55:29.606779 |            63
 Student9   | Lastname9  | Course 4     | 2026-03-03 23:55:29.606779 |           100
 Student9   | Lastname9  | Course 5     | 2026-03-03 23:55:29.606779 |            64
 Student9   | Lastname9  | Course 12    | 2026-03-03 23:55:29.606779 |            68
